Norman Rockwell,Home for Thanksgiving,4305000, https://dyn1.heritagestatic.com/lf?set=path%5B2%2F4%2F4%2F7%2F6%2F24476412%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D ,NormanRockwell
Joseph Christian Leyendecker ,"Beat-up Boy, Football Hero",4121250,https://dyn1.heritagestatic.com/lf?set=path%5B2%2F3%2F6%2F4%2F7%2F23647653%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D ,JosephChristianLeyendecker
Wayne Thiebaud,Blueberry Custard,3255000,https://dyn1.heritagestatic.com/lf?set=path%5B2%2F1%2F5%2F8%2F0%2F21580754%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,WayneThiebaud
William Adolphe Bouguereau,Fishing For Frogs,1762500,https://dyn1.heritagestatic.com/lf?set=path%5B8%2F0%2F7%2F1%2F8071454%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,WilliamAdolpheBouguereau
Ivan Konstantinovich Aivazovsky,Pushkin at the Waters Edge,1613250,https://dyn1.heritagestatic.com/lf?set=path%5B5%2F5%2F0%2F550512%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D ,IvanKonstantinovichAivazovsky
Mikhail Klodt,Riverside Farmstead,1314500,https://dyn1.heritagestatic.com/lf?set=path%5B3%2F8%2F5%2F3%2F3853569%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,MikhailKlodt
William Robinson Leigh,"Home, Sweet Home",1195000,https://dyn1.heritagestatic.com/lf?set=path%5B7%2F0%2F1%2F6%2F7016624%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,WilliamRobinsonLeigh
Maxfield Parrish,Jason and his Teacher,1025000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F3%2F1%2F8%2F1%2F13181532%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,MaxfieldParrish
Robert Motherwell,Untitled,965000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F3%2F1%2F2%2F2%2F13122177%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,RobertMotherwell
Howard A. Terpning,Plunder From Sonora,962500,https://dyn1.heritagestatic.com/lf?set=path%5B8%2F8%2F4%2F8%2F8848275%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,HowardATerpning
Milton Avery,From the Studio,875000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F1%2F1%2F5%2F8%2F11158502%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,MiltonAvery
Birger Sandzén,"Lake at Sunset, Colorado",670000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F3%2F8%2F2%2F7%2F13827954%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,BirgerSandzén
Rembrandt Peale,George Washington ,662500,https://dyn1.heritagestatic.com/lf?set=path%5B9%2F7%2F7%2F4%2F9774091%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D ,RembrandtPeale
Rockwell Kent,Polar Expedition,605000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F2%2F1%2F1%2F3%2F12113042%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,RockwellKent
Thomas Moran ,Moonlight. Icebergs in Mid Alantic,567625,https://dyn1.heritagestatic.com/lf?set=path%5B7%2F7%2F8%2F778347%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,ThomasMoran
G. Harvey,When Cowboys Don't Change,516500,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F9%2F2%2F4%2F6%2F19246759%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,GHarvey
Sam Francis,Untitled,515000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F1%2F2%2F6%2F0%2F11260338%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,SamFrancis
Sean Scully,Lipari,495000,https://dyn1.heritagestatic.com/lf?set=path%5B2%2F4%2F8%2F7%2F9%2F24879163%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,SeanScully
Victor Higgins,The White Gate,461000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F2%2F0%2F4%2F4%2F12044918%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,VictorHiggins
John Alvin,E.T. The Extra-Terrestrial,394000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F4%2F3%2F9%2F7%2F14397554%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,JohnAlvin
Giorgio de Chirico,II Travatore,375000,https://dyn1.heritagestatic.com/lf?set=path%5B2%2F4%2F2%2F5%2F6%2F24256428%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,GiorgiodeChirico
Frank Frazetta,Red Planet,346000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F4%2F4%2F9%2F9%2F14499606%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,FrankFrazetta
Andy Warhol,Campbell's Soup Box,293000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F2%2F8%2F9%2F9%2F12899849%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,AndyWarhol
Josef Albers,Study for Homage to the Square,262900,https://dyn1.heritagestatic.com/lf?set=path%5B6%2F4%2F1%2F8%2F6418554%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,JosefAlbers
Mel Ramos ,A Sinister Figure Lurks in the Shadows,173000,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F3%2F1%2F2%2F8%2F13128683%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,MelRamos
KAWS,Untitled,131250,https://dyn1.heritagestatic.com/lf?set=path%5B1%2F3%2F8%2F8%2F1%2F13881431%5D%2Csizedata%5B200x400%5D&call=url%5Bfile%3Aproduct.chain%5D,KAWS
